9,,,,,,,,,,,,,,,,,,,,,DUMMY
22,,,,,,,,,,,,,,,,,,,,,DUMMY
22,,,,,,,,,,,,,,,,,,,,,DUMMY
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
